GEO_ID,NAME,White%,Black%,20_54%,55_85+%,MEAN_INCOME
45001,"Abbeville County, South Carolina",69.8,27.4,40.86,35.27,51486
45003,"Aiken County, South Carolina",70.6,24.7,43.15,32.61,66713
45005,"Allendale County, South Carolina",23.5,75.7,44.76,32.20,38401
45007,"Anderson County, South Carolina",79.8,15.8,43.64,30.85,64057
45009,"Bamberg County, South Carolina",36.2,61.1,41.40,34.62,47509
45011,"Barnwell County, South Carolina",50.8,45.7,41.06,31.37,48742
45013,"Beaufort County, South Carolina",75.3,18.1,38.93,39.10,88376
45015,"Berkeley County, South Carolina",67.1,23.8,47.98,25.15,75504
45017,"Calhoun County, South Carolina",55.4,41.4,40.64,37.70,60797
45019,"Charleston County, South Carolina",68.2,27.3,49.04,28.48,90593
45021,"Cherokee County, South Carolina",75.3,20,44.82,28.90,52714
45023,"Chester County, South Carolina",60.6,36.9,42.99,32.20,51811
45025,"Chesterfield County, South Carolina",63,32.3,44.15,31.16,51767
45027,"Clarendon County, South Carolina",49.3,48.8,41.18,36.83,52668
45029,"Colleton County, South Carolina",57.5,38.4,42.00,33.61,51053
45031,"Darlington County, South Carolina",56.6,40.7,42.91,32.02,52907
45033,"Dillon County, South Carolina",46.8,48.1,43.00,29.05,43942
45035,"Dorchester County, South Carolina",67.8,25.4,47.26,25.36,76701
45037,"Edgefield County, South Carolina",59.9,36.5,46.33,32.77,69741
45039,"Fairfield County, South Carolina",39.7,56.3,41.05,36.83,54010
45041,"Florence County, South Carolina",53.9,42.5,44.79,28.98,64233
45043,"Georgetown County, South Carolina",64.6,31.3,36.43,42.09,71010
45045,"Greenville County, South Carolina",74.4,18.1,46.71,27.51,78229
45047,"Greenwood County, South Carolina",63.8,32,43.59,30.40,58679
45049,"Hampton County, South Carolina",42.7,53.4,44.46,31.16,43009
45051,"Horry County, South Carolina",80.8,13.7,41.61,37.45,63661
45053,"Jasper County, South Carolina",52.2,43.1,44.22,31.32,58336
45055,"Kershaw County, South Carolina",71.3,23.9,42.46,32.12,60728
45057,"Lancaster County, South Carolina",73.8,21.4,43.51,32.79,76139
45059,"Laurens County, South Carolina",70.1,24.7,43.60,31.65,55273
45061,"Lee County, South Carolina",32.7,65.6,45.48,31.90,45875
45063,"Lexington County, South Carolina",79.3,14.6,46.18,28.29,76343
45065,"McCormick County, South Carolina",50.5,46.7,37.82,48.83,57950
45067,"Marion County, South Carolina",39.7,56.8,41.42,33.28,50693
45069,"Marlboro County, South Carolina",41.5,50.6,47.45,30.09,45307
45071,"Newberry County, South Carolina",62.8,31.6,41.75,32.87,57692
45073,"Oconee County, South Carolina",87.8,7.1,40.23,37.60,66461
45075,"Orangeburg County, South Carolina",34.4,61.6,42.36,32.26,49429
45077,"Pickens County, South Carolina",88.3,6.6,46.84,28.10,62857
45079,"Richland County, South Carolina",45.5,46.6,49.98,23.25,73371
45081,"Saluda County, South Carolina",65.1,25.2,41.23,32.92,58014
45083,"Spartanburg County, South Carolina",73.4,20.4,45.59,28.40,66705
45085,"Sumter County, South Carolina",48,47,45.13,27.95,56757
45087,"Union County, South Carolina",65.3,31.4,42.19,34.50,52916
45089,"Williamsburg County, South Carolina",32,64.7,42.31,34.11,46239
45091,"York County, South Carolina",74.4,19.1,46.64,26.25,83339
