GEO_ID,NAME,Bachelor's degree or higher
45001,"Abbeville County, South Carolina",15.9
45003,"Aiken County, South Carolina",26.4
45005,"Allendale County, South Carolina",9.4
45007,"Anderson County, South Carolina",21.4
45009,"Bamberg County, South Carolina",18.7
45011,"Barnwell County, South Carolina",11.5
45013,"Beaufort County, South Carolina",40.3
45015,"Berkeley County, South Carolina",23.8
45017,"Calhoun County, South Carolina",19.2
45019,"Charleston County, South Carolina",42.8
45021,"Cherokee County, South Carolina",13.8
45023,"Chester County, South Carolina",13.7
45025,"Chesterfield County, South Carolina",10.1
45027,"Clarendon County, South Carolina",15.5
45029,"Colleton County, South Carolina",15.2
45031,"Darlington County, South Carolina",17.2
45033,"Dillon County, South Carolina",11.1
45035,"Dorchester County, South Carolina",27.9
45037,"Edgefield County, South Carolina",17.8
45039,"Fairfield County, South Carolina",17
45041,"Florence County, South Carolina",23.1
45043,"Georgetown County, South Carolina",27.2
45045,"Greenville County, South Carolina",34.2
45047,"Greenwood County, South Carolina",23.5
45049,"Hampton County, South Carolina",11.4
45051,"Horry County, South Carolina",23.6
45053,"Jasper County, South Carolina",16.9
45055,"Kershaw County, South Carolina",19.9
45057,"Lancaster County, South Carolina",26.9
45059,"Laurens County, South Carolina",15.4
45061,"Lee County, South Carolina",12.3
45063,"Lexington County, South Carolina",30.1
45065,"McCormick County, South Carolina",20.2
45067,"Marion County, South Carolina",14.4
45069,"Marlboro County, South Carolina",9.4
45071,"Newberry County, South Carolina",17.1
45073,"Oconee County, South Carolina",24.6
45075,"Orangeburg County, South Carolina",19.5
45077,"Pickens County, South Carolina",24.5
45079,"Richland County, South Carolina",37.7
45081,"Saluda County, South Carolina",16.1
45083,"Spartanburg County, South Carolina",23.8
45085,"Sumter County, South Carolina",18.5
45087,"Union County, South Carolina",12.1
45089,"Williamsburg County, South Carolina",12.7
45091,"York County, South Carolina",32
